# Created by fun3.pl
#ORF	BESTHIT	BESTAVER
NC_015380_1161	K07146	K07146
NC_015380_1162	K00588	
NC_015380_1163	K02434	K02434
NC_015380_1164	K02433	K02433
NC_015380_1165	K02435	K02435
NC_015380_1166	K07447	K07447
NC_015380_1167	K00609	K00609
NC_015380_1168	K01465	K01465
NC_015380_1169	K08591	K08591
NC_015380_1170	K03168	K03168
NC_015380_1171	K03809	K06965
NC_015380_1172	K03694	K03694
NC_015380_1173	K06891	K06891
NC_015380_1174	K00012	K00012
NC_015380_1175	K00963	K00963
NC_015380_1176	K01918	K01918
NC_015380_1177	K06213	K06213
NC_015380_1178	K03801	K03801
NC_015380_1179	K06179	K06179
NC_015380_1180	K06199	K06199
NC_015380_1181	K02879	K02879
NC_015380_1182	K03040	K03040
NC_015380_1183	K02948	K02948
NC_015380_1184	K02952	K02952
NC_015380_1185	K00939	K00939
NC_015380_1186	K03076	K03076
NC_015380_1187	K02876	K02876
NC_015380_1188	K02988	K02988
NC_015380_1189	K02881	K02881
NC_015380_1190	K02933	K02933
NC_015380_1191	K02994	K02994
NC_015380_1192	K02954	K02954
NC_015380_1193	K02931	K02931
NC_015380_1194	K02895	K02895
NC_015380_1195	K02874	K02874
NC_015380_1196	K02961	K02961
NC_015380_1197	K02904	K02904
NC_015380_1198	K02878	K02878
NC_015380_1199	K02982	K02982
NC_015380_1200	K02890	K02890
NC_015380_1201	K02965	K02965
NC_015380_1202	K02886	K02886
NC_015380_1203	K02892	K02892
NC_015380_1204	K02926	K02926
NC_015380_1205	K02906	K02906
NC_015380_1206	K02946	K02946
NC_015380_1207	K02355	K02355
NC_015380_1208	K02992	K02992
NC_015380_1209	K02950	K02950
NC_015380_1210	K03046	K03046
NC_015380_1211	K03043	K03043
NC_015380_1212	K02935	K02935
NC_015380_1213	K02864	K02864
NC_015380_1214	K02863	K02863
NC_015380_1215	K02867	K02867
NC_015380_1216	K02601	K02601
NC_015380_1217	K03073	K03073
NC_015380_1218	K02358	K02358
NC_015380_1219	K03218	K03218
NC_015380_1222	K01338	K01338
NC_015380_1223	K03544	K03544
NC_015380_1224	K01358	K01358
NC_015380_1225	K03545	K03545
NC_015380_1226	K00019	K00019
NC_015380_1228	K01915	K01915
NC_015380_1229	K02622	K02622
NC_015380_1230	K03297	K03297
NC_015380_1231	K18626	K14836
NC_015380_1233	K00953	K15429
NC_015380_1234	K06206	K06206
NC_015380_1235	K01265	K01265
NC_015380_1236	K01756	K01756
NC_015380_1237	K01923	K01923
NC_015380_1238	K01952	K01952
NC_015380_1239	K01952	K01952
NC_015380_1240	K01952	K01952
NC_015380_1241	K22066	K22066
NC_015380_1242	K07390	K07390
NC_015380_1243	K02986	K02986
NC_015380_1244	K02533	
NC_015380_1245	K02533	K02533
NC_015380_1246	K01649	K01649
NC_015380_1247	K01883	K01883
NC_015380_1248	K01916	K01916
NC_015380_1249	K01626	K01626
NC_015380_1252	K00820	K00820
NC_015380_1253	K04042	K04042
NC_015380_1254	K04042	K11528
NC_015380_1255	K01091	K01091
NC_015380_1256	K03417	K03417
NC_015380_1257	K01659	
NC_015380_1259	K07149	K07149
NC_015380_1261	K01061	K01061
NC_015380_1263	K00526	K00526
NC_015380_1264	K00525	K00525
NC_015380_1265	K15778	K15778
NC_015380_1266	K15778	K15778
NC_015380_1268	K07115	K07115
NC_015380_1269	K01522	K01522
NC_015380_1270	K00721	K00721
NC_015380_1272	K16904	K16904
NC_015380_1273	K07749	
NC_015380_1274	K01692	K15016
NC_015380_1275	K21393	
NC_015380_1277	K11688	
NC_015380_1278	K00830	K00830
NC_015380_1279	K18983	
NC_015380_1280	K06911	K06911
NC_015380_1282	K11418	K11418
NC_015380_1283	K01669	K01669
NC_015380_1286	K03321	K03321
NC_015380_1291	K00344	K00344
NC_015380_1292	K01465	K01465
NC_015380_1293	K22073	
NC_015380_1294	K01607	K01607
NC_015380_1295	K00130	
NC_015380_1297	K06147	K06147
NC_015380_1298	K06916	K06916
NC_015380_1299	K06916	K18798
NC_015380_1300	K00858	K00858
NC_015380_1301	K13628	K13628
NC_015380_1302	K03593	K02612
NC_015380_1303	K04488	K04488
NC_015380_1304	K11717	K11717
NC_015380_1305	K09015	K09015
NC_015380_1306	K09013	K09013
NC_015380_1307	K09014	K09014
NC_015380_1308	K07018	K07018
NC_015380_1309	K09001	K09001
NC_015380_1310	K01866	K01866
NC_015380_1312	K02836	K02836
NC_015380_1313	K05366	K05366
NC_015380_1314	K08300	K08300
NC_015380_1315	K07007	K07007
NC_015380_1320	K07301	K07301
NC_015380_1322	K10804	K10804
NC_015380_1323	K02003	K02003
NC_015380_1324	K02004	K02004
NC_015380_1326	K13796	K13796
NC_015380_1327	K08279	
NC_015380_1329	K13668	
NC_015380_1333	K11206	K11206
NC_015380_1334	K00797	K00797
NC_015380_1335	K01243	K01243
NC_015380_1336	K00759	K00759
NC_015380_1340	K01174	
NC_015380_1341	K02001	K02001
NC_015380_1342	K02002	K02002
NC_015380_1344	K09816	K09816
NC_015380_1345	K09817	K09817
NC_015380_1346	K09815	K09815
NC_015380_1347	K09823	K09823
NC_015380_1348	K21430	
NC_015380_1349	K03782	K03782
NC_015380_1350	K02010	K02010
NC_015380_1351	K02011	K02011
NC_015380_1353	K02012	K02012
NC_015380_1354	K06876	K06876
NC_015380_1355	K13256	K13256
NC_015380_1357	K00286	K00286
NC_015380_1358	K00286	K00286
NC_015380_1359	K01759	K01759
NC_015380_1360	K08906	K08906
NC_015380_1361	K01759	K01759
NC_015380_1363	K20927	
NC_015380_1365	K00275	K00275
NC_015380_1366	K01736	K01736
NC_015380_1367	K07059	K19225
NC_015380_1369	K00108	K00108
NC_015380_1370	K03086	K03164
NC_015380_1372	K06902	K06902
NC_015380_1376	K03924	K13735
NC_015380_1379	K01662	K01662
NC_015380_1380	K00795	K00795
NC_015380_1381	K03602	K03602
NC_015380_1382	K07566	K07566
NC_015380_1383	K01990	K01990
NC_015380_1384	K01992	K01992
NC_015380_1385	K01921	K01921
NC_015380_1386	K06180	K06180
NC_015380_1387	K03089	K03089
NC_015380_1388	K01939	K01939
NC_015380_1389	K00941	K14153
NC_015380_1390	K03431	K03431
NC_015380_1391	K00796	K00796
NC_015380_1392	K03798	K03798
NC_015380_1393	K04075	K04075
NC_015380_1395	K03640	K03640
NC_015380_1396	K03641	K03641
NC_015380_1398	K03560	K03560
NC_015380_1399	K03562	K03562
NC_015380_1400	K07107	
NC_015380_1401	K01159	K01159
NC_015380_1402	K18189	K18189
NC_015380_1403	K09769	K09769
NC_015380_1404	K01934	K01934
NC_015380_1405	K09888	K09888
NC_015380_1406	K20478	K11499
NC_015380_1407	K00615	K00615
NC_015380_1408	K00134	K00134
NC_015380_1409	K00927	K00927
NC_015380_1410	K01623	K01623
NC_015380_1411	K00788	K00788
NC_015380_1412	K02356	K02356
NC_015380_1413	K01092	K01092
NC_015380_1414	K08151	K08151
NC_015380_1415	K08153	
NC_015380_1416	K02909	K02909
NC_015380_1417	K09987	K09987
NC_015380_1418	K01588	K01588
NC_015380_1419	K01589	K01589
NC_015380_1420	K18587	K18587
NC_015380_1422	K03570	K03570
NC_015380_1423	K03569	K03569
NC_015380_1424	K01649	K01649
